产品ID,型号,品牌,颜色数,上市时间,市场定位,芯片平台,芯片主频,AP,频段数量,零售价格,外观类型,厚度,产品重量,屏幕数量,屏幕尺寸,分辩率,触摸屏,键盘类型,RAM,ROM,Flash内存,摄像头,定位,FM广播,电视,Modem,红外,蓝牙,WLAN,电池容量,重力感应器,方向感应器,文字输入方法数,智能系统
1,C7188,华为,3,2007,0,0,40,0,1,550,0,17.4,83,1,2.1,76800,0,1,256,512,15,320,0,1,0,1,0,1,0,800,0,0,1,0
2,1508,诺基亚,3,2008,0,1,56,0,1,399,0,14.8,129,1,2.4,76800,1,1,128,256,150,200,0,1,0,1,0,1,0,1200,0,0,1,0
3,C5100,华为,3,2008,0,0,128,0,1,598,0,14.8,110,1,2.4,76800,1,1,64,128,0,200,0,1,0,1,0,1,0,1300,0,0,3,0
4,E300c,联想,1,2008,0,1,56,0,1,298,0,15.5,112.5,1,3,96000,1,0,64,128,15,200,1,1,0,1,0,1,1,910,0,0,2,0
5,N68,宇龙,2,2008,3,0,40,0,3,4980,0,16.8,67,1,1.5,14400,0,1,64,32,1,0,0,0,0,0,0,0,0,750,0,0,1,0
6,B2020C,天宇朗通,2,2008,0,1,56,0,1,259,0,15.4,100,1,2.4,76800,1,1,64,128,120,200,1,1,0,1,0,1,0,850,0,0,3,0
7,B2022C,天宇朗通,2,2008,0,1,56,0,1,259,0,15.4,100,1,2.4,76800,1,0,64,128,128,200,0,1,0,1,0,0,0,1000,0,0,3,0
8,CD500,UT,1,2008,0,0,96,0,1,680,0,14.8,105,1,2.4,76800,1,1,256,128,5,200,1,1,0,1,0,1,0,1500,0,0,3,0
9,C3308,华为,1,2008,0,0,96,0,1,398,1,18,110,1,2.8,128000,1,0,128,256,140,320,1,1,0,1,0,1,0,1100,0,0,2,1
10,C5588,华为,1,2008,0,0,128,0,1,780,0,15.5,80,1,2.2,38720,0,1,128,32,0.5,30,0,0,0,0,0,0,0,1050,0,0,1,0
11,A120,英华达,1,2008,0,1,56,0,1,468,0,14.8,98,2,2,38720,0,1,3,32,32,130,1,0,0,1,0,0,0,1000,0,0,1,0
12,KC168,康佳,1,2008,1,0,96,0,3,1180,0,16.8,85,1,2,38720,0,1,12,12,0,130,0,0,0,0,0,1,0,800,0,0,1,0
13,KC309,康佳,1,2008,0,0,96,0,1,598,0,14.3,75,1,1.5,20480,0,1,2,4,2,0,0,1,0,1,0,0,0,850,0,0,1,0
14,C001,和信,1,2008,0,0,96,0,1,278,0,14.8,85,1,2.4,76800,0,1,8,16,1,0,0,1,0,0,0,0,0,1000,0,0,1,0
15,F689,三星,1,2009,2,0,128,0,1,1480,2,14.8,80,1,1.4,14400,0,1,32,32,32,0,0,0,0,0,0,0,0,800,0,0,1,0
16,CF58,深圳广信,3,2009,0,1,56,0,1,498,0,13,70,1,1.5,16384,0,1,32,64,0,0,0,0,0,0,0,0,0,670,0,0,1,0
17,C16,金立,1,2009,0,0,96,0,1,298,0,17.5,70,1,1.5,14400,0,1,32,64,1,0,0,0,0,0,0,0,0,800,0,0,1,0
18,D780C,天宇朗通,2,2009,1,1,56,0,4,1150,0,15.6,135,1,3,96000,0,1,256,128,128,200,1,0,0,1,0,1,0,950,0,0,1,0
19,D788C,天宇朗通,2,2009,1,1,56,0,4,1150,0,15.9,96.7,1,2.4,76800,0,1,64,128,10,130,0,0,0,1,0,0,0,1450,0,0,1,0
20,SCH-S189,三星,1,2008,0,0,96,0,1,298,0,15,125,1,3.2,153600,1,0,128,256,0,200,0,0,0,1,0,1,0,1300,1,0,2,1
21,LG-KX186,LG,1,2008,0,0,96,0,1,298,0,13.9,110.4,1,2.8,76800,1,0,64,128,70,200,1,1,0,1,0,1,0,1400,0,0,2,0
22,ZTE C321+,中兴,1,2008,0,0,96,0,1,278,0,12.8,100,2,2,38720,1,0,64,128,128,130,1,0,0,0,0,1,0,830,0,0,1,0
23,HS-C199,海信,1,2008,0,0,96,0,1,235,0,14.8,90,1,1.5,16384,0,1,32,32,32,0,0,1,0,0,0,0,0,800,0,0,1,0
24,C106,大显,2,2008,0,1,56,0,1,288,0,16.8,77,1,2.1,38720,0,1,43,43,0,130,0,0,0,0,0,1,0,620,0,0,1,0
25,SCH-B289,三星,2,2008,0,0,96,0,1,598,1,20,80,1,1.5,16384,0,1,4,8,7.3,0,0,0,0,0,0,0,0,950,0,0,1,0
26,ZTE C310+,中兴,2,2008,0,0,96,0,1,199,0,17,85,1,1.8,20480,0,1,32,64,32,130,0,1,0,0,0,0,0,850,0,0,1,0
27,HS-C108,海信,1,2008,0,0,96,0,1,208,0,19.8,70.4,1,1.8,20480,0,1,4,8,0.5,30,0,0,0,0,0,0,0,800,0,0,2,0
28,ZTE C360,中兴,1,2008,0,0,96,0,1,448,0,14,133,2,2.6,76800,1,1,128,64,512,30,0,1,0,1,0,1,0,1050,0,0,3,0
29,ZTE C361,中兴,2,2008,0,0,96,0,1,358,0,13.8,100,1,2.2,38720,0,1,32,64,0,30,0,1,0,0,0,0,0,1000,0,0,1,0
30,HS-C558,海信,1,2008,0,0,96,0,1,780,0,14.8,100,1,2,38720,0,1,32,64,32,130,0,0,0,0,0,0,0,1100,0,0,1,0
31,HS-D90,海信,1,2008,2,0,96,0,3,1280,0,17.2,76,1,1.77,19200,0,1,128,32,1,0,0,0,0,0,0,0,0,800,0,0,1,0
32,OT-S659,TCL移动,1,2008,1,0,96,0,3,1250,0,16.8,70,1,1.5,14400,0,1,64,32,1,0,0,1,0,0,0,0,0,800,0,0,1,0
33,ZTE D90,中兴,1,2008,2,0,147,0,1,1350,1,18.5,78,1,1.77,20480,0,1,8,16,0,30,0,1,0,0,0,0,0,1000,0,0,1,0
