epoch,acc,loss,val_acc,val_loss
0,0.546,172.68775021362305,0.55,167.54657432861327
1,0.5448,163.17920299072264,0.5492,158.51119821777343
2,0.5444,154.4888311645508,0.5468,150.20568807983398
3,0.5432,146.45751768188475,0.5462,142.55311406860352
4,0.5414,139.0844384338379,0.5408,135.46630283203126
5,0.5416,132.22926481933592,0.5394,128.8795005859375
6,0.5372,125.8191446105957,0.536,122.75382405395507
7,0.5354,119.8781474975586,0.5306,117.01710432739257
8,0.5272,114.32748105773926,0.529,111.64523214111328
9,0.5262,109.10441914367676,0.525,106.6249857788086
10,0.5238,104.21705765075684,0.5232,101.8934858001709
11,0.5262,99.61436444702149,0.5202,97.45177700500489
12,0.5238,95.29052432861329,0.5208,93.25957250976562
13,0.521,91.22856655273438,0.5202,89.30632520141602
14,0.52,87.37729827270508,0.519,85.57453395996093
15,0.5182,83.74967295532227,0.5184,82.04296166381836
16,0.5184,80.31390274658203,0.518,78.69615475158692
17,0.5182,77.03119803161621,0.5146,75.52495802612304
18,0.5206,73.97480942687989,0.5124,72.51352630310059
19,0.5206,71.02175538330079,0.5118,69.64772671508788
20,0.5158,68.23621205444336,0.5146,66.92070163879394
21,0.5154,65.5655147064209,0.5144,64.31990180358886
22,0.5178,63.02389646911621,0.5142,61.835883221435544
23,0.5184,60.590733087158206,0.5172,59.45876055297852
24,0.5174,58.27720958251953,0.5156,57.18033748474121
25,0.5186,56.043098526000975,0.5164,54.998878527832034
26,0.5176,53.901555598449704,0.5142,52.90922989654541
27,0.5232,51.852086589050295,0.5182,50.900287258911135
28,0.53,49.873951344299314,0.5182,48.9720338973999
29,0.5342,47.994211669921874,0.5192,47.12089180297851
30,0.5344,46.175989685058596,0.5216,45.342318186950685
31,0.5386,44.43047044067383,0.5262,43.63106444702149
32,0.5388,42.75295427856445,0.53,41.991909733581544
33,0.5408,41.157563262939455,0.5372,40.41642795257568
34,0.5468,39.60530261688233,0.543,38.90158719329834
35,0.5516,38.12585532226562,0.547,37.44653345794678
36,0.556,36.70239894714356,0.5524,36.04891326751709
37,0.5642,35.32524236450195,0.5606,34.704593617248534
38,0.5718,34.01165220947266,0.5686,33.41227083129883
39,0.5768,32.75272825012207,0.5754,32.17201687011719
40,0.584,31.542627278137207,0.5858,30.983901971435547
41,0.5896,30.383756295013427,0.5936,29.838230490875244
42,0.6012,29.26207521209717,0.604,28.74010786819458
