data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,label
17 ,39 ,37 ,7 ,32 ,20 ,22 ,52 ,96 ,0 ,0
23 ,16 ,21 ,48 ,28 ,57 ,50 ,31 ,35 ,92 ,0
27 ,40 ,7 ,13 ,1 ,18 ,67 ,72 ,36 ,88 ,0
40 ,5 ,31 ,43 ,43 ,28 ,58 ,54 ,48 ,40 ,0
49 ,6 ,42 ,29 ,39 ,33 ,0 ,68 ,94 ,82 ,0
32 ,12 ,8 ,6 ,11 ,70 ,50 ,72 ,51 ,72 ,0
41 ,27 ,18 ,16 ,33 ,99 ,15 ,67 ,94 ,17 ,0
22 ,27 ,32 ,33 ,14 ,34 ,4 ,5 ,94 ,91 ,0
14 ,12 ,43 ,3 ,44 ,66 ,81 ,68 ,24 ,75 ,0
34 ,14 ,6 ,22 ,37 ,8 ,71 ,28 ,93 ,97 ,0
32 ,17 ,11 ,9 ,25 ,0 ,32 ,10 ,86 ,38 ,0
26 ,0 ,43 ,36 ,13 ,73 ,27 ,53 ,64 ,8 ,0
7 ,41 ,22 ,4 ,22 ,79 ,9 ,7 ,96 ,19 ,0
23 ,25 ,14 ,40 ,45 ,32 ,56 ,86 ,12 ,68 ,0
31 ,49 ,18 ,46 ,28 ,6 ,76 ,40 ,65 ,76 ,0
2 ,46 ,34 ,29 ,17 ,65 ,82 ,100 ,54 ,51 ,0
27 ,10 ,42 ,0 ,45 ,10 ,17 ,22 ,14 ,29 ,0
8 ,9 ,33 ,12 ,35 ,27 ,36 ,81 ,44 ,58 ,0
44 ,49 ,23 ,13 ,11 ,51 ,41 ,39 ,50 ,26 ,0
49 ,25 ,1 ,47 ,33 ,18 ,2 ,98 ,50 ,67 ,0
13 ,14 ,8 ,15 ,3 ,79 ,33 ,2 ,38 ,70 ,0
8 ,6 ,47 ,18 ,8 ,76 ,52 ,3 ,5 ,80 ,0
14 ,45 ,25 ,39 ,12 ,60 ,66 ,74 ,79 ,26 ,0
2 ,34 ,0 ,10 ,10 ,100 ,59 ,2 ,27 ,76 ,0
16 ,45 ,17 ,19 ,29 ,48 ,60 ,100 ,100 ,37 ,0
22 ,46 ,14 ,32 ,8 ,90 ,94 ,100 ,39 ,15 ,0
26 ,13 ,33 ,27 ,25 ,4 ,61 ,62 ,86 ,92 ,0
28 ,33 ,40 ,11 ,43 ,86 ,38 ,0 ,92 ,27 ,0
44 ,17 ,2 ,4 ,7 ,6 ,36 ,88 ,77 ,5 ,0
14 ,43 ,11 ,10 ,23 ,80 ,59 ,90 ,68 ,47 ,0
46 ,5 ,4 ,38 ,12 ,11 ,32 ,17 ,13 ,87 ,0
13 ,13 ,44 ,31 ,1 ,89 ,93 ,52 ,95 ,55 ,0
44 ,28 ,41 ,8 ,15 ,69 ,16 ,7 ,5 ,46 ,0
